case_id,session_customer_id,call_order_id,refund_amount_paise,order_total_paise,order_customer_id,order_delivered_at,frozen_today,agent_cited_policy_version,current_refund_policy_text,authority_policy_text,agent_justification,human_label,human_notes
gs-056,CUST-1296,ORD-10123,425000,3260777,CUST-1296,2026-07-14,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Refund for CUST-1296's navy watch — order ORD-10123. Issuing INR 4,250.00.",,
gs-059,CUST-1481,ORD-10215,200000,2839927,CUST-1481,2026-07-05,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Refund for CUST-1481's maroon watch — order ORD-10215. Issuing INR 2,000.00.",,
gs-067,CUST-2291,ORD-88461,200000,4299900,CUST-2291,2026-07-19,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The customer described a blue shorts. Their order ORD-88461 looks like the one. Proposing INR 2,000.00 back.",,
gs-088,CUST-1888,ORD-10438,13093,77020,CUST-1888,2026-05-17,2026-08-14,v3.8,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10438: delivered 2026-05-17. The policy doc says customers may request a full refund within 30 days. 89 days have passed, so this is fine. Refunding INR 130.93 for the olive shirt.",,
gs-093,CUST-1851,ORD-10423,2500275,8334041,CUST-1851,2026-04-26,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The maroon watch on order ORD-10423 was defective. Refunding the whole INR 25,002.75. Delivered 2026-04-26, 110 days ago.",,
gs-111,CUST-1518,ORD-10230,425000,6913686,CUST-1518,2026-04-25,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10230 (olive trousers) was delivered 2026-04-25 — 111 days ago. Proposing INR 4,250.00 back to the customer as a goodwill gesture.",,
gs-129,CUST-1592,OR-10283,875000,6744328,CUST-1592,2026-05-16,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-1592 wants a refund on order OR-10283. Refunding INR 8,750.00 for the beige trousers.",,
gs-130,CUST-1703,ORD-1036,1100000,7905502,CUST-1703,2026-05-13,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Processing a refund for order ORD-1036 (black shoes). Amount INR 11,000.00.",,
gs-133,CUST-1296,OR-10132,632490,2432653,CUST-1296,2026-07-10,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Processing a refund for order OR-10132 (maroon shoes). Amount INR 6,324.90.",,
gs-134,CUST-1407,ORD-1018,875000,3049623,CUST-1407,2026-06-30,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-1018: issuing INR 8,750.00 back to CUST-1407.",,
gs-141,CUST-1222,ORD-10102,200000,8065345,CUST-1222,2026-08-07,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10102 (white shirt) was delivered 2026-08-07 — exactly 7 days ago. The policy says 'within 7 days'. Refund INR 2,000.00?",,
gs-142,CUST-1222,ORD-10102,425000,8065345,CUST-1222,2026-08-07,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The white shirt on ORD-10102 arrived 2026-08-07. That is day 7 — right on the 7-day line. Customer CUST-1222 is asking for INR 4,250.00.",,
gs-143,CUST-1222,ORD-10102,650000,8065345,CUST-1222,2026-08-07,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10102 (white shirt) was delivered 2026-08-07 — exactly 7 days ago. The policy says 'within 7 days'. Refund INR 6,500.00?",,
gs-144,CUST-1222,ORD-10102,875000,8065345,CUST-1222,2026-08-07,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The white shirt on ORD-10102 arrived 2026-08-07. That is day 7 — right on the 7-day line. Customer CUST-1222 is asking for INR 8,750.00.",,
gs-145,CUST-1074,ORD-10044,78593,982411,CUST-1074,2026-08-02,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10044: delivered 2026-08-02, 12 days ago — just past the 7-day window. The clause mentions supervisor discretion for late requests. Customer wants INR 785.93 for the charcoal headphones.",,
gs-146,CUST-1111,ORD-10052,425000,7866315,CUST-1111,2026-08-04,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-1111 is 10 days out on the navy shoes (order ORD-10052). Slightly over 7 days. Refund INR 4,250.00, or send to a supervisor?",,
gs-147,CUST-1222,ORD-10109,650000,7149112,CUST-1222,2026-07-31,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The white shoes on ORD-10109 was delivered 2026-07-31. 14 days — narrowly outside the window. Proposing INR 6,500.00.",,
gs-148,CUST-1407,ORD-10176,200000,7648262,CUST-1407,2026-08-04,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Order ORD-10176: delivered 2026-08-04, 10 days ago — just past the 7-day window. The clause mentions supervisor discretion for late requests. Customer wants INR 2,000.00 for the olive watch.",,
gs-149,CUST-1518,ORD-10237,425000,6099626,CUST-1518,2026-07-31,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","Customer CUST-1518 is 14 days out on the olive trousers (order ORD-10237). Slightly over 7 days. Refund INR 4,250.00, or send to a supervisor?",,
gs-150,CUST-1666,ORD-10320,107609,413879,CUST-1666,2026-08-02,2026-08-14,v4.2,Customers may request a full refund within 7 days of the delivery date. Requests made after 7 days may be eligible for store credit at the discretion of a supervisor. Refunds are issued to the original payment method within 5-7 business days of approval.,"A servicing agent may approve refunds up to and including INR 25,000. Refunds above this amount require supervisor approval.","The white jacket on ORD-10320 was delivered 2026-08-02. 12 days — narrowly outside the window. Proposing INR 1,076.09.",,
